"Labe","Labe"
"Vltava","Vltava"
"Ohre","Ohre"
"Berounka","Berounka"
"Sazava","Sázava"
"Otava","Otava"
"Morava","Morava"
"Orlice","Orlice"
"Odra","Odra"
"Ostravice","Ostravice"
"Dyje","Dyje"
"Svratka","Svratka"
"Svitava","Svitava"
"Jizera","Jizera"
"Uslava","Úslava"
"Uhlava","Úhlava"
"Radbuza","Radbuza"
"Mze","Mze"
"Becva","Becva"
"Bela_(Cechy)","Bělá (Čechy)"
"Bela_(Morava)","Bělá (Morava)"
"Blanice_(J._Cechy)","Blanice (J. Čechy)"
"Blanice_(Sazava)","Blanice (Sázava)"
"Blata","Blata"
"Blsanka","Blšanka"
"Bobruvka","Bobrůvka"
"Branna","Branná"
"Bystrice_(Cechy)","Bystřice (Čechy)"
"Bystrice_(Morava)","Bystřice (Morava)"
"Cidlina","Cidlina"
"Desna","Desná"
"Divoka_Orlice","Divoká Orlice"
"Doubrava","Doubrava"
"Drevnice","Dřevnice"
"Hana","Haná"
"Chomutovka","Chomutovka"
"Chrudimka","Chrudimka"
"Jevisovka","Jevišovka"
"Kamenice_(J._Cechy)","Kamenice (J. Čechy)"
"Kamenice_(S._Cechy)","Kamenice (S. Čechy)"
"Klabava","Klabava"
"Kocaba","Kocába"
"Krupa","Krupá"
"Kremelna","Křemelná"
"Kyjovka","Kyjovka"
"Litavka","Litavka"
"Lodenice","Loděnice"
"Lomnice","Lomnice"
"Loucna","Loučná"
"Luzicka_Nisa","Lužická Nisa"
"Metuje","Metuje"
"Moravice","Moravice"
"Moravska_Dyje","Moravská Dyje"
"Moravska_Sazava","Moravská Sázava"
"Mostenka","Moštěnka"
"Mrlina","Mrlina"
"Nezarka","Nežárka"
"Novohradka","Novohradka"
"Olsava","Olšava"
"Olse","Olše"
"Opavice","Opavice"
"Oskava","Oskava"
"Oslava","Oslava"
"Ploucnice","Ploučnice"
"Punkva","Punkva"
"Rokytna","Rokytná"
"Rolava","Rolava"
"Romze","Romže"
"Roznovska_Becva","Rožnovská Bečva"
"Skalice","Skalice"
"Smeda","Smědá"
"Stenava","Stěnava"
"Stropnice","Stropnice"
"Strela","Střela"
"Svatava","Svatava"
"Tepla","Teplá"
"Ticha_Orlice","Tichá Orlice"
"Trkmanka","Trkmanka"
"Trebuvka","Třebůvka"
"Tremosna","Třemošná"
"Upa","Úpa"
"Velicka","Velička"
"Vidnavka","Vidnavka"
"Volynka","Volyňka"
"Vsetinska_Becva","Vsetínská Bečva"
"Vydra","Vydra"
"Vyrovka","Výrovka"
"Zlata_stoka","Zlatá stoka"
"Zeletavka","Želetavka"
"Zelivka","Želivka"
"Zirovnice","Žirovnice"
